customer_id,customer_name,email,phone,city,state,signup_date,customer_segment
Cust00001,Ananya Miller,Ananya.Miller1@Mail.Com,8123156124.0,Lucknow,Uttar Pradesh,2023-10-28,Premium
Cust00002,Amelia Rao,Amelia.Rao2@Outlook.Com,6204496093.0,Agra,Uttar Pradesh,2021-10-03,Premium
Cust00003,Liam Rao,Liam.Rao3@Yahoo.Com,8889542655.0,Kanpur,Uttar Pradesh,2024-09-05,Regular
Cust00004,Isabella Singh,Isabella.Singh4@Gmail.Com,8156341511.0,Vadodara,Gujarat,2023-05-09,Regular
Cust00005,Aditya Gupta,Aditya.Gupta5@Yahoo.Com,8800935401.0,Bengaluru,Karnataka,2024-01-20,Premium
Cust00006,Kabir Gupta,Kabir.Gupta6@Gmail.Com,8124724799.0,Agra,Uttar Pradesh,2024-02-22,New
Cust00007,Liam Brown,Liam.Brown7@Outlook.Com,9866402704.0,Ludhiana,Punjab,2022-06-28,Vip
Cust00008,Amelia Miller,Amelia.Miller8@Gmail.Com,9909073286.0,Hyderabad,Telangana,2022-06-20,Regular
Cust00009,Kabir Verma,Kabir.Verma9@Yahoo.Com,9703975707.0,Delhi,Delhi,2021-12-05,Regular
Cust00010,Aarav Iyer,Aarav.Iyer10@Outlook.Com,7807765063.0,Ahmedabad,Gujarat,2024-09-08,Vip
Cust00011,Noah Reddy,Noah.Reddy11@Gmail.Com,9301942549.0,Kolkata,West Bengal,2022-03-16,Regular
Cust00012,Abigail Brown,Abigail.Brown12@Gmail.Com,8529560480.0,Jaipur,Rajasthan,2023-11-03,Premium
Cust00013,Diya Johnson,Diya.Johnson13@Yahoo.Com,,Nashik,Maharashtra,2022-11-03,Regular
Cust00014,Arjun Smith,Arjun.Smith14@Gmail.Com,7257120244.0,Pune,Maharashtra,2022-12-27,Regular
Cust00015,Ishaan Gupta,Ishaan.Gupta15@Yahoo.Com,6202585894.0,Agra,Uttar Pradesh,2023-01-13,Regular
Cust00016,,William.Singh16@Outlook.Com,6612026532.0,Jaipur,Rajasthan,2021-07-04,Premium
Cust00017,Henry Nair,Henry.Nair17@Gmail.Com,7859674935.0,Nashik,Maharashtra,2023-10-19,Premium
Cust00018,Noah Rao,Noah.Rao18@Outlook.Com,8427692509.0,Bengaluru,Karnataka,2023-03-02,Vip
Cust00019,Kiara Patel,Kiara.Patel19@Yahoo.Com,7695024527.0,Mumbai,Maharashtra,2023-10-31,Premium
Cust00020,Lucas Gupta,Lucas.Gupta20_At_Mail.Com,9866823538.0,Ludhiana,Punjab,2023-05-22,Premium
Cust00021,Aditya Anderson,Aditya.Anderson21@Mail.Com,8287705313.0,Ahmedabad,Gujarat,2024-02-05,New
Cust00022,Kabir Smith,Kabir.Smith22@Yahoo.Com,9411454646.0,Surat,Gujarat,2022-09-12,Premium
Cust00023,Ira Davis,Ira.Davis23@Gmail.Com,6161736645.0,Nashik,Maharashtra,2024-01-13,New
